directions,hidden,id,lat,lon,name,showDestinationSelector,route
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34326,45.2750599,-66.0784799,Douglas Ave. & Main St. North,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34442,45.2737499,-66.07922,65 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34503,45.2719899,-66.08064,141 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34446,45.2703599,-66.08144,207 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34448,45.26874,-66.0819499,N.B. Museum - Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34505,45.2675,-66.0823599,297 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34449,45.2655199,-66.08336,Harbourview High School,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34451,45.2638599,-66.08417,335 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34454,45.2612199,-66.0849899,411 Douglas Avenue,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34456,45.2583199,-66.08986,Bridge & Mill Rd.,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34466,45.25671,-66.0925199,Simms Corner,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34461,45.2561799,-66.09459,572 Harding Street,True,1A
"['1A_0_var1', '1A_0_var2', '1A_0_var0']",False,BSTP34462,45.25487,-66.0956799,630 Harding Street,True,1A
"['1A_0_var2', '1A_0_var0']",False,BSTP34463,45.2540399,-66.09294,Lancaster Mall,True,1A
"['1A_0_var2', '1A_0_var0']",False,BSTP34894,45.2532599,-66.09734,Fairville Blvd,True,1A
